Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.99,Upright
Nord_ConcertGrand1Amb-Lrg,0.13,Grand
Nord_GrandLadyD-Lrg,0.13,Grand
Nord_QueenUpright-Lrg,0.96,Upright
Nord_SilverGrand-XL,0.16,Grand
Instrument,Accuracy,Class
AkPnBcht,0.44,Grand
AkPnBsdf,0.17,Grand
AkPnCGdD,0.17,Grand
AkPnStgb,1.0,Upright
ENSTDkAm,0.97,Upright
ENSTDkCl,1.0,Upright
SptkBGAm,0.07,Grand
StbgTGd2,0.17,Grand
grand-closed,0.06,Grand
grand-open,0.01,Grand
grand-removed,0.02,Grand
upright-closed,0.78,Upright
upright-open,0.69,Upright
upright-semiopen,0.79,Upright
