Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.55,Upright
Nord_ConcertGrand1Amb-Lrg,0.88,Grand
Nord_GrandLadyD-Lrg,0.85,Grand
Nord_QueenUpright-Lrg,0.64,Upright
Nord_SilverGrand-XL,0.69,Grand
Instrument,Accuracy,Class
AkPnBcht,0.81,Grand
AkPnBsdf,0.57,Grand
AkPnCGdD,0.55,Grand
AkPnStgb,0.81,Upright
ENSTDkAm,0.79,Upright
ENSTDkCl,0.84,Upright
SptkBGAm,0.37,Grand
StbgTGd2,0.44,Grand
grand-closed,0.6,Grand
grand-open,0.43,Grand
grand-removed,0.48,Grand
upright-closed,0.75,Upright
upright-open,0.72,Upright
upright-semiopen,0.7,Upright
