Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.76,Upright
Nord_ConcertGrand1Amb-Lrg,0.79,Grand
Nord_GrandLadyD-Lrg,0.55,Grand
Nord_QueenUpright-Lrg,0.81,Upright
Nord_SilverGrand-XL,0.63,Grand
Instrument,Accuracy,Class
AkPnBcht,0.55,Grand
AkPnBsdf,0.44,Grand
AkPnCGdD,0.43,Grand
AkPnStgb,0.87,Upright
ENSTDkAm,0.87,Upright
ENSTDkCl,0.89,Upright
SptkBGAm,0.32,Grand
StbgTGd2,0.41,Grand
grand-closed,0.4,Grand
grand-open,0.31,Grand
grand-removed,0.39,Grand
upright-closed,0.79,Upright
upright-open,0.88,Upright
upright-semiopen,0.83,Upright
