Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.83,Upright
Nord_ConcertGrand1Amb-Lrg,0.82,Grand
Nord_GrandLadyD-Lrg,0.9,Grand
Nord_QueenUpright-Lrg,0.82,Upright
Nord_SilverGrand-XL,0.93,Grand
