Instrument,Accuracy,Class
AkPnBcht,0.86,Grand
AkPnBsdf,0.51,Grand
AkPnCGdD,0.92,Grand
AkPnStgb,0.7,Upright
ENSTDkAm,0.58,Upright
ENSTDkCl,0.59,Upright
SptkBGAm,0.57,Grand
StbgTGd2,0.9,Grand
grand-closed,0.85,Grand
grand-open,0.85,Grand
grand-removed,0.85,Grand
upright-closed,0.77,Upright
upright-open,0.69,Upright
upright-semiopen,0.49,Upright
