Instrument,Accuracy,Class
AkPnBcht,0.89,Grand
AkPnBsdf,0.6,Grand
AkPnCGdD,0.87,Grand
AkPnStgb,0.28,Grand
ENSTDkAm,0.64,Upright
ENSTDkCl,0.33,Upright
SptkBGAm,0.69,Grand
StbgTGd2,0.84,Grand
grand-closed,0.92,Grand
grand-open,0.91,Grand
grand-removed,0.92,Grand
upright-closed,0.79,Upright
upright-open,0.84,Upright
upright-semiopen,0.65,Upright
