Instrument,Accuracy,Class
AkPnBcht,0.64,Grand
AkPnBsdf,0.55,Grand
AkPnCGdD,0.39,Grand
AkPnStgb,0.79,Upright
ENSTDkAm,0.84,Upright
ENSTDkCl,0.6,Upright
SptkBGAm,0.18,Grand
StbgTGd2,0.27,Grand
grand-closed,0.87,Grand
grand-open,0.91,Grand
grand-removed,0.82,Grand
upright-closed,0.96,Upright
upright-open,0.99,Upright
upright-semiopen,0.95,Upright
