Instrument,Accuracy,Class
Nord_BambinoUpright-XL,1.0,Upright
Nord_ConcertGrand1Amb-Lrg,0.49,Grand
Nord_GrandLadyD-Lrg,0.44,Grand
Nord_QueenUpright-Lrg,1.0,Upright
Nord_SilverGrand-XL,0.81,Grand
