Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.94,Upright
Nord_ConcertGrand1Amb-Lrg,0.9,Grand
Nord_GrandLadyD-Lrg,0.92,Grand
Nord_QueenUpright-Lrg,0.89,Upright
Nord_SilverGrand-XL,0.98,Grand
Instrument,Accuracy,Class
AkPnBcht,0.93,Grand
AkPnBsdf,0.82,Grand
AkPnCGdD,0.91,Grand
AkPnStgb,0.41,Upright
ENSTDkAm,0.61,Upright
ENSTDkCl,0.23,Upright
SptkBGAm,0.69,Grand
StbgTGd2,0.76,Grand
grand-closed,0.97,Grand
grand-open,0.97,Grand
grand-removed,0.97,Grand
upright-closed,0.95,Upright
upright-open,0.93,Upright
upright-semiopen,0.79,Upright
