Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.91,Upright
Nord_ConcertGrand1Amb-Lrg,0.94,Grand
Nord_GrandLadyD-Lrg,0.92,Grand
Nord_QueenUpright-Lrg,0.96,Upright
Nord_SilverGrand-XL,0.95,Grand
